Package,License
regjsparser,BSD-2-Clause
stringify-object,BSD-2-Clause
terser,BSD-2-Clause
uri-js,BSD-2-Clause
webidl-conversions,BSD-2-Clause
@humanwhocodes/object-schema,BSD-3-Clause
@sinonjs/commons,BSD-3-Clause
@sinonjs/fake-timers,BSD-3-Clause
@xtuc/ieee754,BSD-3-Clause
abab,BSD-3-Clause
babel-plugin-istanbul,BSD-3-Clause
eslint-plugin-flowtype,BSD-3-Clause
esquery,BSD-3-Clause
filesize,BSD-3-Clause
ieee754,BSD-3-Clause
istanbul-lib-coverage,BSD-3-Clause
istanbul-lib-instrument,BSD-3-Clause
istanbul-lib-report,BSD-3-Clause
istanbul-lib-source-maps,BSD-3-Clause
istanbul-reports,BSD-3-Clause
jpeg-js,BSD-3-Clause
makeerror,BSD-3-Clause
qs,BSD-3-Clause
react-transition-group,BSD-3-Clause
serialize-javascript,BSD-3-Clause
source-map,BSD-3-Clause
source-map-js,BSD-3-Clause
sprintf-js,BSD-3-Clause
tmpl,BSD-3-Clause
tough-cookie,BSD-3-Clause
caniuse-lite,CC-BY-4.0
@csstools/normalize.css,CC0-1.0
@csstools/postcss-cascade-layers,CC0-1.0
@csstools/postcss-color-function,CC0-1.0
@csstools/postcss-font-format-keywords,CC0-1.0
@csstools/postcss-hwb-function,CC0-1.0
@csstools/postcss-ic-unit,CC0-1.0
@csstools/postcss-is-pseudo-class,CC0-1.0
@csstools/postcss-nested-calc,CC0-1.0
@csstools/postcss-normalize-display-values,CC0-1.0
@csstools/postcss-oklab-function,CC0-1.0
@csstools/postcss-progressive-custom-properties,CC0-1.0
@csstools/postcss-stepped-value-functions,CC0-1.0
@csstools/postcss-text-decoration-shorthand,CC0-1.0
@csstools/postcss-trigonometric-functions,CC0-1.0
@csstools/postcss-unset-value,CC0-1.0
@csstools/selector-specificity,CC0-1.0
css-blank-pseudo,CC0-1.0
css-has-pseudo,CC0-1.0
css-prefers-color-scheme,CC0-1.0
cssdb,CC0-1.0
language-subtag-registry,CC0-1.0
mdn-data,CC0-1.0
postcss-browser-comments,CC0-1.0
postcss-color-functional-notation,CC0-1.0
postcss-color-rebeccapurple,CC0-1.0
postcss-dir-pseudo-class,CC0-1.0
postcss-double-position-gradients,CC0-1.0
postcss-env-function,CC0-1.0
postcss-focus-visible,CC0-1.0
postcss-focus-within,CC0-1.0
postcss-gap-properties,CC0-1.0
postcss-image-set-function,CC0-1.0
postcss-lab-function,CC0-1.0
postcss-logical,CC0-1.0
postcss-nesting,CC0-1.0
postcss-normalize,CC0-1.0
postcss-overflow-shorthand,CC0-1.0
postcss-place,CC0-1.0
postcss-preset-env,CC0-1.0
postcss-pseudo-class-any-link,CC0-1.0
sanitize.css,CC0-1.0
potrace,GPL-2.0
@isaacs/cliui,ISC
@istanbuljs/load-nyc-config,ISC
@trysound/sax,ISC
@ungap/structured-clone,ISC
anymatch,ISC
at-least-node,ISC
boolbase,ISC
cliui,ISC
common-path-prefix,ISC
css-color-keywords,ISC
css-declaration-sorter,ISC
electron-to-chromium,ISC
fastq,ISC
flatted,ISC
foreground-child,ISC
fs.realpath,ISC
get-caller-file,ISC
get-own-enumerable-property-symbols,ISC
glob,ISC
glob-parent,ISC
graceful-fs,ISC
icss-utils,ISC
idb,ISC
inflight,ISC
inherits,ISC
ini,ISC
isexe,ISC
lru-cache,ISC
material-colors,ISC
minimalistic-assert,ISC
minimatch,ISC
minipass,ISC
once,ISC
picocolors,ISC
pixelmatch,ISC
postcss-modules-extract-imports,ISC
postcss-modules-scope,ISC
postcss-modules-values,ISC
rimraf,ISC
sax,ISC
saxes,ISC
semver,ISC
setprototypeof,ISC
signal-exit,ISC
test-exclude,ISC
v8-to-istanbul,ISC
which,ISC
wrappy,ISC
write-file-atomic,ISC
y18n,ISC
yallist,ISC
yaml,ISC
yargs-parser,ISC
@aashutoshrathi/word-wrap,MIT
@adobe/css-tools,MIT
@alloc/quick-lru,MIT
@apideck/better-ajv-errors,MIT
@babel/code-frame,MIT
@babel/compat-data,MIT
@babel/core,MIT
@babel/eslint-parser,MIT
@babel/generator,MIT
@babel/helper-annotate-as-pure,MIT
@babel/helper-builder-binary-assignment-operator-visitor,MIT
@babel/helper-compilation-targets,MIT
@babel/helper-create-class-features-plugin,MIT
@babel/helper-create-regexp-features-plugin,MIT
@babel/helper-define-polyfill-provider,MIT
@babel/helper-environment-visitor,MIT
@babel/helper-function-name,MIT
@babel/helper-hoist-variables,MIT
@babel/helper-member-expression-to-functions,MIT
@babel/helper-module-imports,MIT
@babel/helper-module-transforms,MIT
@babel/helper-optimise-call-expression,MIT
@babel/helper-plugin-utils,MIT
@babel/helper-remap-async-to-generator,MIT
@babel/helper-replace-supers,MIT
@babel/helper-simple-access,MIT
@babel/helper-skip-transparent-expression-wrappers,MIT
@babel/helper-split-export-declaration,MIT
@babel/helper-string-parser,MIT
@babel/helper-validator-identifier,MIT
@babel/helper-validator-option,MIT
@babel/helper-wrap-function,MIT
@babel/helpers,MIT
@babel/highlight,MIT
@babel/parser,MIT
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression │ MIT
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,MIT
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,MIT
@babel/plugin-proposal-class-properties,MIT
@babel/plugin-proposal-decorators,MIT
@babel/plugin-proposal-nullish-coalescing-operator,MIT
@babel/plugin-proposal-numeric-separator,MIT
@babel/plugin-proposal-optional-chaining,MIT
@babel/plugin-proposal-private-methods,MIT
@babel/plugin-proposal-private-property-in-object,MIT
@babel/plugin-syntax-async-generators,MIT
@babel/plugin-syntax-bigint,MIT
@babel/plugin-syntax-class-properties,MIT
@babel/plugin-syntax-class-static-block,MIT
@babel/plugin-syntax-decorators,MIT
@babel/plugin-syntax-dynamic-import,MIT
@babel/plugin-syntax-export-namespace-from,MIT
@babel/plugin-syntax-flow,MIT
@babel/plugin-syntax-import-assertions,MIT
@babel/plugin-syntax-import-attributes,MIT
@babel/plugin-syntax-import-meta,MIT
@babel/plugin-syntax-json-strings,MIT
@babel/plugin-syntax-jsx,MIT
@babel/plugin-syntax-logical-assignment-operators,MIT
@babel/plugin-syntax-nullish-coalescing-operator,MIT
@babel/plugin-syntax-numeric-separator,MIT
@babel/plugin-syntax-object-rest-spread,MIT
@babel/plugin-syntax-optional-catch-binding,MIT
@babel/plugin-syntax-optional-chaining,MIT
@babel/plugin-syntax-private-property-in-object,MIT
@babel/plugin-syntax-top-level-await,MIT
@babel/plugin-syntax-typescript,MIT
@babel/plugin-syntax-unicode-sets-regex,MIT
@babel/plugin-transform-arrow-functions,MIT
@babel/plugin-transform-async-generator-functions,MIT
@babel/plugin-transform-async-to-generator,MIT
@babel/plugin-transform-block-scoped-functions,MIT
@babel/plugin-transform-block-scoping,MIT
@babel/plugin-transform-class-properties,MIT
@babel/plugin-transform-class-static-block,MIT
@babel/plugin-transform-classes,MIT
@babel/plugin-transform-computed-properties,MIT
@babel/plugin-transform-destructuring,MIT
@babel/plugin-transform-dotall-regex,MIT
@babel/plugin-transform-duplicate-keys,MIT
@babel/plugin-transform-dynamic-import,MIT
@babel/plugin-transform-exponentiation-operator,MIT
@babel/plugin-transform-export-namespace-from,MIT
@babel/plugin-transform-flow-strip-types,MIT
@babel/plugin-transform-for-of,MIT
@babel/plugin-transform-function-name,MIT
@babel/plugin-transform-json-strings,MIT
@babel/plugin-transform-literals,MIT
@babel/plugin-transform-logical-assignment-operators,MIT
@babel/plugin-transform-member-expression-literals,MIT
@babel/plugin-transform-modules-amd,MIT
@babel/plugin-transform-modules-commonjs,MIT
@babel/plugin-transform-modules-systemjs,MIT
@babel/plugin-transform-modules-umd,MIT
@babel/plugin-transform-named-capturing-groups-regex,MIT
@babel/plugin-transform-new-target,MIT
@babel/plugin-transform-nullish-coalescing-operator,MIT
@babel/plugin-transform-numeric-separator,MIT
@babel/plugin-transform-object-rest-spread,MIT
@babel/plugin-transform-object-super,MIT
@babel/plugin-transform-optional-catch-binding,MIT
@babel/plugin-transform-optional-chaining,MIT
@babel/plugin-transform-parameters,MIT
@babel/plugin-transform-private-methods,MIT
@babel/plugin-transform-private-property-in-object,MIT
@babel/plugin-transform-property-literals,MIT
@babel/plugin-transform-react-constant-elements,MIT
@babel/plugin-transform-react-display-name,MIT
@babel/plugin-transform-react-jsx,MIT
@babel/plugin-transform-react-jsx-development,MIT
@babel/plugin-transform-react-pure-annotations,MIT
@babel/plugin-transform-regenerator,MIT
@babel/plugin-transform-reserved-words,MIT
@babel/plugin-transform-runtime,MIT
@babel/plugin-transform-shorthand-properties,MIT
@babel/plugin-transform-spread,MIT
@babel/plugin-transform-sticky-regex,MIT
@babel/plugin-transform-template-literals,MIT
@babel/plugin-transform-typeof-symbol,MIT
@babel/plugin-transform-typescript,MIT
@babel/plugin-transform-unicode-escapes,MIT
@babel/plugin-transform-unicode-property-regex,MIT
@babel/plugin-transform-unicode-regex,MIT
@babel/plugin-transform-unicode-sets-regex,MIT
@babel/preset-env,MIT
@babel/preset-modules,MIT
@babel/preset-react,MIT
@babel/preset-typescript,MIT
@babel/regjsgen,MIT
@babel/runtime,MIT
@babel/template,MIT
@babel/traverse,MIT
@babel/types,MIT
@bcoe/v8-coverage,MIT
@emotion/is-prop-valid,MIT
@emotion/memoize,MIT
@emotion/unitless,MIT
@eslint-community/eslint-utils,MIT
@eslint-community/regexpp,MIT
@eslint/eslintrc,MIT
@eslint/js,MIT
@icons/material,MIT
@istanbuljs/schema,MIT
@jest/console,MIT
@jest/core,MIT
@jest/environment,MIT
@jest/fake-timers,MIT
@jest/globals,MIT
@jest/reporters,MIT
@jest/schemas,MIT
@jest/source-map,MIT
@jest/test-result,MIT
@jest/test-sequencer,MIT
@jest/transform,MIT
@jest/types,MIT
@jimp/bmp (dev),MIT
@jimp/core (dev),MIT
@jimp/custom (dev),MIT
@jimp/gif (dev),MIT
@jimp/jpeg (dev),MIT
@jimp/plugin-blit (dev),MIT
@jimp/plugin-blur (dev),MIT
@jimp/plugin-circle (dev),MIT
@jimp/plugin-color (dev),MIT
@jimp/plugin-contain (dev),MIT
@jimp/plugin-cover (dev),MIT
@jimp/plugin-crop (dev),MIT
@jimp/plugin-displace (dev),MIT
@jimp/plugin-dither (dev),MIT
@jimp/plugin-fisheye (dev),MIT
@jimp/plugin-flip (dev),MIT
@jimp/plugin-gaussian (dev),MIT
@jimp/plugin-invert (dev),MIT
@jimp/plugin-mask (dev),MIT
@jimp/plugin-normalize (dev),MIT
@jimp/plugin-print (dev),MIT
@jimp/plugin-resize (dev),MIT
@jimp/plugin-rotate (dev),MIT
@jimp/plugin-scale (dev),MIT
@jimp/plugin-shadow (dev),MIT
@jimp/plugin-threshold (dev),MIT
@jimp/plugins (dev),MIT
@jimp/png (dev),MIT
@jimp/tiff (dev),MIT
@jimp/types (dev),MIT
@jimp/utils (dev),MIT
@jridgewell/gen-mapping,MIT
@jridgewell/resolve-uri,MIT
@jridgewell/set-array,MIT
@jridgewell/source-map,MIT
@jridgewell/sourcemap-codec,MIT
@jridgewell/trace-mapping,MIT
@leichtgewicht/ip-codec,MIT
@nicolo-ribaudo/eslint-scope-5-internals,MIT
@nodelib/fs.scandir,MIT
@nodelib/fs.stat,MIT
@nodelib/fs.walk,MIT
@pkgjs/parseargs,MIT
@pmmmwh/react-refresh-webpack-plugin,MIT
@popperjs/core,MIT
@r2wc/core,MIT
@r2wc/react-to-web-component,MIT
@react-hook/latest,MIT
@react-hook/passive-layout-effect,MIT
@react-hook/resize-observer,MIT
@reduxjs/toolkit,MIT
@remix-run/router,MIT
@restart/hooks,MIT
@restart/ui,MIT
@rollup/plugin-babel,MIT
@rollup/plugin-node-resolve,MIT
@rollup/plugin-replace,MIT
@rollup/pluginutils,MIT
@rushstack/eslint-patch,MIT
@sinclair/typebox,MIT
@svgr/babel-plugin-add-jsx-attribute,MIT
@svgr/babel-plugin-remove-jsx-attribute,MIT
@svgr/babel-plugin-remove-jsx-empty-expression,MIT
@svgr/babel-plugin-replace-jsx-attribute-value,MIT
@svgr/babel-plugin-svg-dynamic-title,MIT
@svgr/babel-plugin-svg-em-dimensions,MIT
@svgr/babel-plugin-transform-react-native-svg,MIT
@svgr/babel-plugin-transform-svg-component,MIT
@svgr/babel-preset,MIT
@svgr/core,MIT
@svgr/hast-util-to-babel-ast,MIT
@svgr/plugin-jsx,MIT
@svgr/plugin-svgo,MIT
@svgr/webpack,MIT
@testing-library/dom,MIT
@testing-library/jest-dom,MIT
@testing-library/react,MIT
@testing-library/user-event,MIT
@tokenizer/token (dev),MIT
@tootallnate/once,MIT
@types/aria-query,MIT
@types/babel__core,MIT
@types/babel__generator,MIT
@types/babel__template,MIT
@types/babel__traverse,MIT
@types/body-parser,MIT
@types/bonjour,MIT
@types/connect,MIT
@types/connect-history-api-fallback,MIT
@types/eslint,MIT
@types/eslint-scope,MIT
@types/estree,MIT
@types/express,MIT
@types/express-serve-static-core,MIT
@types/graceful-fs,MIT
@types/html-minifier-terser,MIT
@types/http-errors,MIT
@types/http-proxy,MIT
@types/istanbul-lib-coverage,MIT
@types/istanbul-lib-report,MIT
@types/istanbul-reports,MIT
@types/jest,MIT
@types/json-schema,MIT
@types/json5,MIT
@types/mime,MIT
@types/node,MIT
@types/node-forge,MIT
@types/parse-json,MIT
@types/potrace (dev),MIT
@types/prettier,MIT
@types/prop-types,MIT
@types/q,MIT
@types/qs,MIT
@types/range-parser,MIT
@types/react,MIT
@types/react-color (dev),MIT
@types/react-dom,MIT
@types/react-transition-group,MIT
@types/reactcss (dev),MIT
@types/resolve,MIT
@types/retry,MIT
@types/scheduler,MIT
@types/semver,MIT
@types/send,MIT
@types/serve-index,MIT
@types/serve-static,MIT
@types/sockjs,MIT
@types/stack-utils,MIT
@types/stylis,MIT
@types/testing-library__jest-dom,MIT
@types/trusted-types,MIT
@types/use-sync-external-store,MIT
@types/warning,MIT
@types/ws,MIT
@types/yargs,MIT
@types/yargs-parser,MIT
@typescript-eslint/eslint-plugin,MIT
@typescript-eslint/experimental-utils,MIT
@typescript-eslint/scope-manager,MIT
@typescript-eslint/type-utils,MIT
@typescript-eslint/types,MIT
@typescript-eslint/utils,MIT
@typescript-eslint/visitor-keys,MIT
@uidotdev/usehooks,MIT
@userfront/toolkit,MIT
@webassemblyjs/ast,MIT
@webassemblyjs/floating-point-hex-parser,MIT
@webassemblyjs/helper-api-error,MIT
@webassemblyjs/helper-buffer,MIT
@webassemblyjs/helper-numbers,MIT
@webassemblyjs/helper-wasm-bytecode,MIT
@webassemblyjs/helper-wasm-section,MIT
@webassemblyjs/ieee754,MIT
@webassemblyjs/utf8,MIT
@webassemblyjs/wasm-edit,MIT
@webassemblyjs/wasm-gen,MIT
@webassemblyjs/wasm-opt,MIT
@webassemblyjs/wasm-parser,MIT
@webassemblyjs/wast-printer,MIT
@xstate/react,MIT
accepts,MIT
acorn,MIT
acorn-globals,MIT
acorn-import-assertions,MIT
acorn-jsx,MIT
acorn-walk,MIT
address,MIT
adjust-sourcemap-loader,MIT
agent-base,MIT
ajv,MIT
ajv-formats,MIT
ajv-keywords,MIT
ansi-escapes,MIT
ansi-regex,MIT
ansi-styles,MIT
any-base,MIT
any-promise,MIT
arg,MIT
array-buffer-byte-length,MIT
array-flatten,MIT
array-includes,MIT
array-union,MIT
array.prototype.findlastindex,MIT
array.prototype.flat,MIT
array.prototype.flatmap,MIT
array.prototype.reduce,MIT
array.prototype.tosorted,MIT
arraybuffer.prototype.slice,MIT
asap,MIT
ast-types-flow,MIT
async,MIT
asynciterator.prototype,MIT
asynckit,MIT
autoprefixer,MIT
available-typed-arrays,MIT
axios,MIT
babel-jest,MIT
babel-loader,MIT
babel-plugin-jest-hoist,MIT
babel-plugin-macros,MIT
babel-plugin-named-asset-import,MIT
babel-plugin-polyfill-corejs2,MIT
babel-plugin-polyfill-corejs3,MIT
babel-plugin-polyfill-regenerator,MIT
babel-plugin-transform-react-remove-prop-types,MIT
babel-preset-current-node-syntax,MIT
babel-preset-jest,MIT
babel-preset-react-app,MIT
balanced-match,MIT
base64-js,MIT
batch,MIT
bfj,MIT
big.js,MIT
binary-extensions,MIT
bluebird,MIT
bmp-js,MIT
body-parser,MIT
bonjour-service,MIT
bootstrap,MIT
brace-expansion,MIT
braces,MIT
browserslist,MIT
buffer,MIT
buffer-equal,MIT
buffer-from,MIT
builtin-modules,MIT
bytes,MIT
call-bind,MIT
callsites,MIT
camel-case,MIT
camelcase,MIT
camelcase-css,MIT
camelize,MIT
caniuse-api,MIT
case-sensitive-paths-webpack-plugin,MIT
chalk,MIT
char-regex,MIT
check-types,MIT
chokidar,MIT
chrome-trace-event,MIT
ci-info,MIT
cjs-module-lexer,MIT
classnames,MIT
clean-css,MIT
co,MIT
coa,MIT
collect-v8-coverage,MIT
color-convert,MIT
color-name,MIT
colord,MIT
colorette,MIT
combined-stream,MIT
commander,MIT
common-tags,MIT
commondir,MIT
compressible,MIT
compression,MIT
concat-map,MIT
confusing-browser-globals,MIT
connect-history-api-fallback,MIT
content-disposition,MIT
content-type,MIT
convert-source-map,MIT
cookie,MIT
cookie-signature,MIT
core-js,MIT
core-js-compat,MIT
core-js-pure,MIT
core-util-is,MIT
cosmiconfig,MIT
cross-spawn,MIT
crypto-random-string,MIT
css-loader,MIT
css-minimizer-webpack-plugin,MIT
css-select-base-adapter,MIT
css-to-react-native,MIT
css-tree,MIT
css.escape,MIT
cssesc,MIT
cssnano,MIT
cssnano-preset-default,MIT
cssnano-utils,MIT
csso,MIT
cssom,MIT
cssstyle,MIT
csstype,MIT
data-urls,MIT
debug,MIT
decimal.js,MIT
dedent,MIT
deep-equal,MIT
deep-is,MIT
deepmerge,MIT
define-data-property,MIT
define-lazy-prop,MIT
define-properties,MIT
delayed-stream,MIT
depd,MIT
dequal,MIT
destroy,MIT
detect-newline,MIT
detect-node,MIT
detect-port-alt,MIT
diff-sequences,MIT
dir-glob,MIT
dlv,MIT
dns-packet,MIT
dom-accessibility-api,MIT
dom-converter,MIT
dom-helpers,MIT
dom-serializer,MIT
dom-walk,MIT
domexception,MIT
dot-case,MIT
duplexer,MIT
eastasianwidth,MIT
ee-first,MIT
emittery,MIT
emoji-regex,MIT
emojis-list,MIT
encodeurl,MIT
enhanced-resolve,MIT
error-ex,MIT
error-stack-parser,MIT
es-abstract,MIT
es-array-method-boxes-properly,MIT
es-get-iterator,MIT
es-iterator-helpers,MIT
es-module-lexer,MIT
es-set-tostringtag,MIT
es-shim-unscopables,MIT
es-to-primitive,MIT
escalade,MIT
escape-html,MIT
escape-string-regexp,MIT
eslint,MIT
eslint-config-react-app,MIT
eslint-import-resolver-node,MIT
eslint-module-utils,MIT
eslint-plugin-import,MIT
eslint-plugin-jest,MIT
eslint-plugin-jsx-a11y,MIT
eslint-plugin-react,MIT
eslint-plugin-react-hooks,MIT
eslint-plugin-testing-library,MIT
eslint-webpack-plugin,MIT
estree-walker,MIT
etag,MIT
eventemitter3,MIT
events,MIT
execa,MIT
exif-parser,MIT
exit,MIT
expect,MIT
express,MIT
fast-deep-equal,MIT
fast-glob,MIT
fast-json-stable-stringify,MIT
fast-levenshtein,MIT
file-entry-cache,MIT
file-loader,MIT
file-type (dev),MIT
fill-range,MIT
finalhandler,MIT
find-cache-dir,MIT
find-up,MIT
flat-cache,MIT
follow-redirects,MIT
for-each,MIT
fork-ts-checker-webpack-plugin,MIT
form-data,MIT
forwarded,MIT
fraction.js,MIT
fresh,MIT
fs-extra,MIT
fsevents,MIT
function-bind,MIT
function.prototype.name,MIT
functions-have-names,MIT
gensync,MIT
get-intrinsic,MIT
get-package-type,MIT
get-stream,MIT
get-symbol-description,MIT
gifwrap,MIT
global,MIT
global-modules,MIT
global-prefix,MIT
globals,MIT
globalthis,MIT
globby,MIT
gopd,MIT
graphemer,MIT
gzip-size,MIT
handle-thing,MIT
has-bigints,MIT
has-flag,MIT
has-property-descriptors,MIT
has-proto,MIT
has-symbols,MIT
has-tostringtag,MIT
hasown,MIT
he,MIT
hoopy,MIT
hpack.js,MIT
html-encoding-sniffer,MIT
html-entities,MIT
html-escaper,MIT
html-minifier-terser,MIT
html-webpack-plugin,MIT
htmlparser2,MIT
http-deceiver,MIT
http-errors,MIT
http-parser-js,MIT
http-proxy,MIT
http-proxy-agent,MIT
http-proxy-middleware,MIT
https-proxy-agent,MIT
iconv-lite,MIT
identity-obj-proxy,MIT
ignore,MIT
image-q,MIT
immer,MIT
import-fresh,MIT
import-local,MIT
imurmurhash,MIT
indent-string,MIT
internal-slot,MIT
invariant,MIT
ipaddr.js,MIT
is-arguments,MIT
is-array-buffer,MIT
is-arrayish,MIT
is-async-function,MIT
is-bigint,MIT
is-binary-path,MIT
is-boolean-object,MIT
is-callable,MIT
is-core-module,MIT
is-date-object,MIT
is-docker,MIT
is-extglob,MIT
is-finalizationregistry,MIT
is-fullwidth-code-point,MIT
is-function,MIT
is-generator-fn,MIT
is-generator-function,MIT
is-glob,MIT
is-map,MIT
is-module,MIT
is-negative-zero,MIT
is-number,MIT
is-number-object,MIT
is-obj,MIT
is-path-inside,MIT
is-plain-obj,MIT
is-potential-custom-element-name,MIT
is-regex,MIT
is-regexp,MIT
is-root,MIT
is-set,MIT
is-shared-array-buffer,MIT
is-stream,MIT
is-string,MIT
is-symbol,MIT
is-typed-array,MIT
is-typedarray,MIT
is-weakmap,MIT
is-weakref,MIT
is-weakset,MIT
is-wsl,MIT
isarray,MIT
iterator.prototype,MIT
jest,MIT
jest-changed-files,MIT
jest-circus,MIT
jest-cli,MIT
jest-config,MIT
jest-diff,MIT
jest-docblock,MIT
jest-each,MIT
jest-environment-jsdom,MIT
jest-environment-node,MIT
jest-get-type,MIT
jest-haste-map,MIT
jest-jasmine2,MIT
jest-leak-detector,MIT
jest-matcher-utils,MIT
jest-message-util,MIT
jest-mock,MIT
jest-pnp-resolver,MIT
jest-regex-util,MIT
jest-resolve,MIT
jest-resolve-dependencies,MIT
jest-runner,MIT
jest-runtime,MIT
jest-serializer,MIT
jest-snapshot,MIT
jest-util,MIT
jest-validate,MIT
jest-watch-typeahead,MIT
jest-watcher,MIT
jest-worker,MIT
jimp (dev),MIT
jiti,MIT
js-cookie,MIT
js-tokens,MIT
js-yaml,MIT
jsdom,MIT
jsesc,MIT
json-buffer,MIT
json-parse-even-better-errors,MIT
json-schema-traverse,MIT
json-stable-stringify-without-jsonify,MIT
json5,MIT
jsonfile,MIT
jsonpath,MIT
jsonpointer,MIT
jsx-ast-utils,MIT
keyv,MIT
kind-of,MIT
kleur,MIT
klona,MIT
language-tags,MIT
launch-editor,MIT
leven,MIT
levn,MIT
lilconfig,MIT
lines-and-columns,MIT
load-bmfont,MIT
loader-runner,MIT
loader-utils,MIT
locate-path,MIT
lodash,MIT
lodash-es,MIT
lodash.debounce,MIT
lodash.isequal,MIT
lodash.memoize,MIT
lodash.merge,MIT
lodash.reduce,MIT
lodash.sortby,MIT
lodash.startswith,MIT
lodash.uniq,MIT
loose-envify,MIT
lower-case,MIT
lz-string,MIT
magic-string,MIT
make-dir,MIT
media-typer,MIT
merge-descriptors,MIT
merge-stream,MIT
merge2,MIT
methods,MIT
micromatch,MIT
mime,MIT
mime-db,MIT
mime-types,MIT
mimic-fn,MIT
min-document,MIT
min-indent,MIT
mini-css-extract-plugin,MIT
minimist,MIT
mkdirp,MIT
ms,MIT
multicast-dns,MIT
mz,MIT
nanoid,MIT
natural-compare,MIT
natural-compare-lite,MIT
negotiator,MIT
neo-async,MIT
no-case,MIT
node-int64,MIT
node-releases,MIT
normalize-path,MIT
normalize-range,MIT
normalize-url,MIT
npm-run-path,MIT
nwsapi,MIT
object-assign,MIT
object-hash,MIT
object-inspect,MIT
object-is,MIT
object-keys,MIT
object.assign,MIT
object.entries,MIT
object.fromentries,MIT
object.getownpropertydescriptors,MIT
object.groupby,MIT
object.hasown,MIT
object.values,MIT
obuf,MIT
omggif,MIT
on-finished,MIT
on-headers,MIT
onetime,MIT
open,MIT
optionator,MIT
p-limit,MIT
p-locate,MIT
p-retry,MIT
p-try,MIT
param-case,MIT
parent-module,MIT
parse-bmfont-ascii,MIT
parse-bmfont-binary,MIT
parse-bmfont-xml,MIT
parse-headers,MIT
parse-json,MIT
parse5,MIT
parseurl,MIT
pascal-case,MIT
path-exists,MIT
path-is-absolute,MIT
path-key,MIT
path-parse,MIT
path-to-regexp,MIT
path-type,MIT
peek-readable (dev),MIT
performance-now,MIT
phin,MIT
picomatch,MIT
pify,MIT
pirates,MIT
pkg-dir,MIT
pkg-up,MIT
pngjs,MIT
postcss,MIT
postcss-attribute-case-insensitive,MIT
postcss-calc,MIT
postcss-clamp,MIT
postcss-color-hex-alpha,MIT
postcss-colormin,MIT
postcss-convert-values,MIT
postcss-custom-media,MIT
postcss-custom-properties,MIT
postcss-custom-selectors,MIT
postcss-discard-comments,MIT
postcss-discard-duplicates,MIT
postcss-discard-empty,MIT
postcss-discard-overridden,MIT
postcss-flexbugs-fixes,MIT
postcss-font-variant,MIT
postcss-import,MIT
postcss-initial,MIT
postcss-js,MIT
postcss-load-config,MIT
postcss-loader,MIT
postcss-media-minmax,MIT
postcss-merge-longhand,MIT
postcss-merge-rules,MIT
postcss-minify-font-values,MIT
postcss-minify-gradients,MIT
postcss-minify-params,MIT
postcss-minify-selectors,MIT
postcss-modules-local-by-default,MIT
postcss-nested,MIT
postcss-normalize-charset,MIT
postcss-normalize-display-values,MIT
postcss-normalize-positions,MIT
postcss-normalize-repeat-style,MIT
